,Tempo[s],Z_onda[m],Z_heave[m]
316,31.6008778,0.0615890738,0.01142441777
317,31.70088058,-0.1476189792,0.01712767511
318,31.80088336,-0.3494898746,0.02282070233
319,31.90088614,-0.5352832857,0.02849785962
320,32.00088891,-0.6969889331,0.0341534783
321,32.10089169,-0.8276726714,0.03978185908
322,32.20089447,-0.9217727202,0.04537727195
323,32.30089725,-0.9753334917,0.05093395773
324,32.40090003,-0.9861674508,0.05644613151
325,32.5009028,-0.9539387923,0.06190798809
326,32.60090558,-0.880166265,0.06731370941
327,32.70090836,-0.768146057,0.07265747396
328,32.80091114,-0.622799101,0.07793346788
329,32.90091391,-0.450450331,0.08313589785
330,33.00091669,-0.2585501798,0.08825900515
331,33.10091947,-0.05535085823,0.09329708094
332,33.20092225,0.150448386,0.09824448214
333,33.30092503,0.3500717993,0.1030956477
334,33.4009278,0.5350378413,0.1078451149
335,33.50093058,0.6975147488,0.1124875351
336,33.60093336,0.8306464739,0.1170176889
337,33.70093614,0.9288359402,0.1214305
338,33.80093891,0.987974457,0.1257210482
339,33.90094169,1.005608412,0.1298845801
340,34.00094447,0.9810369421,0.1339165184
341,34.10094725,0.9153370598,0.1378124695
342,34.20095003,0.8113155694,0.1415682288
343,34.3009528,0.6733899809,0.1451797847
344,34.40095558,0.5074033748,0.1486433198
345,34.50095836,0.3203807369,0.1519552121
346,34.60096114,0.1202365557,0.1551120329
347,34.70096392,-0.0845546025,0.1581105454
348,34.80096669,-0.2853113377,0.1609477013
349,34.90096947,-0.4735082635,0.1636206376
350,35.00097225,-0.6411337596,0.1661266728
351,35.10097503,-0.7810279979,0.1684633036
352,35.2009778,-0.8871872459,0.1706282021
353,35.30098058,-0.9550216381,0.1726192138
354,35.40098336,-0.9815553265,0.1744343566
355,35.50098614,-0.9655601173,0.1760718209
356,35.60098892,-0.9076163127,0.177529971
357,35.70099169,-0.8100974031,0.1788073484
358,35.80099447,-0.6770783974,0.1799026756
359,35.90099725,-0.5141708074,0.1808148616
360,36.00100003,-0.3282904843,0.1815430083
361,36.10100281,-0.1273675,0.1820864179
362,36.20100558,0.07999006514,0.1824446001
363,36.30100836,0.2848643536,0.1826172808
364,36.40101114,0.4784122705,0.182604409
365,36.50101392,0.6522496478,0.1824061642
366,36.60101669,0.7988181144,0.1820229629
367,36.70101947,0.911718279,0.1814554633
368,36.80102225,0.9859941285,0.1807045684
369,36.90102503,1.018355552,0.1797714284
370,37.00102781,1.007328557,0.17865744
371,37.10103058,0.9533259282,0.1773642437
372,37.20103336,0.8586346278,0.17589372
373,37.30103614,0.7273200429,0.1742479825
374,37.40103892,0.5650509757,0.1724293696
375,37.5010417,0.3788529549,0.1704404344
376,37.60104447,0.1768007738,0.1682839334
377,37.70104725,-0.03233600093,0.1659628136
378,37.80105003,-0.2394786091,0.1634801997
379,37.90105281,-0.4356383787,0.1608393798
380,38.00105558,-0.6123116984,0.1580437925
381,38.10105836,-0.7618528934,0.1550970132
382,38.20106114,-0.8778082885,0.152002742
383,38.30106392,-0.955196581,0.1487647928
384,38.4010667,-0.990723186,0.1453870828
385,38.50106947,-0.9829193014,0.1418736248
386,38.60107225,-0.9321999337,0.1382285205
387,38.70107503,-0.8408388432,0.1344559558
388,38.80107781,-0.7128621347,0.1305601976
389,38.90108059,-0.5538658523,0.1265455928
390,39.00108336,-0.3707662734,0.1224165681
391,39.10108614,-0.1714944742,0.1181776315
392,39.20108892,0.03535094507,0.1138333748
393,39.3010917,0.2408774472,0.1093884762
394,39.40109447,0.4362820049,0.1048477038
395,39.50109725,0.6132277757,0.1002159191
396,39.60110003,0.7641979251,0.0954980792
397,39.70110281,0.8828117477,0.09069923942
398,39.80110559,0.9640900802,0.08582455417
399,39.90110836,1.004659345,0.08087927672
400,40.00111114,1.002886313,0.07586875753
401,40.10111392,0.9589386627,0.07079844096
402,40.2011167,0.8747695932,0.06567386023
403,40.30111948,0.7540278402,0.06050063079
404,40.40112225,0.601897516,0.05528444205
405,40.50112503,0.4248749532,0.05003104759
406,40.60112781,0.230492193,0.04474625419
407,40.70113059,0.02699879186,0.03943590973
408,40.80113336,-0.1769848298,0.03410589045
409,40.90113614,-0.3728282525,0.02876208775
410,41.00113892,-0.5522514259,0.02341039488
411,41.1011417,-0.7076699278,0.01805669398
412,41.20114448,-0.832511151,0.01270684356
413,41.30114725,-0.9214886324,0.007366667053
414,41.40115003,-0.9708233928,0.002041942351
415,41.50115281,-0.9784032383,-0.003261607184
416,41.60115559,-0.9438734038,-0.008538320229
417,41.70115837,-0.8686546173,-0.01378260338
418,41.80116114,-0.7558875361,-0.01898893539
419,41.90116392,-0.6103054478,-0.02415186982
420,42.0011667,-0.4380400369,-0.02926603623
421,42.10116948,-0.246367776,-0.03432614005
422,42.20117225,-0.04340700842,-0.03932696144
423,42.30117503,0.1622220705,-0.04426335335
424,42.40117781,0.3617606327,-0.04913023924
425,42.50118059,0.546682588,-0.05392261056
426,42.60118337,0.7090585031,-0.05863552467
427,42.70118614,0.8418965602,-0.06326410327
428,42.80118892,0.9394457962,-0.06780353175
429,42.9011917,0.9974482654,-0.07224905987
430,43.00119448,1.013328773,-0.07659600374
431,43.10119726,0.9863133743,-0.08083974952
432,43.20120003,0.9174708142,-0.08497575876
433,43.30120281,0.8096743879,-0.08899957547
434,43.40120559,0.6674851746,-0.09290683485
435,43.50120837,0.4969610955,-0.09669327354
436,43.60121114,0.3053996,-0.1003547412
437,43.70121392,0.1010248373,-0.1038872129
438,43.8012167,-0.1073672305,-0.1072868028
439,43.90121948,-0.3107903,-0.1105497772
440,44.00122226,-0.5004589805,-0.1136725685
441,44.10122503,-0.6681724642,-0.1166517881
442,44.20122781,-0.8066734812,-0.1194842388
443,44.30123059,-0.9099664419,-0.1221669254
444,44.40123337,-0.9735804562,-0.1246970648
445,44.50123615,-0.9947653874,-0.1270720933
446,44.60123892,-0.9726121172,-0.1292896724
447,44.7012417,-0.9080916435,-0.1313476925
448,44.80124448,-0.804011321,-0.1332442744
449,44.90124726,-0.6648903216,-0.1349777683
450,45.00125003,-0.4967600469,-0.1365467517
451,45.10125281,-0.3068986034,-0.1379500245
452,45.20125559,-0.1035113821,-0.139186603
453,45.30125837,0.1046278546,-0.1402557127
454,45.40126115,0.3085593036,-0.1411567802
455,45.50126392,0.4995258704,-0.1418894239
456,45.6012667,0.6693512003,-0.1424534456
457,45.70126948,0.8107904963,-0.1428488214
458,45.80127226,0.9178390059,-0.1430756935
459,45.90127504,0.9859850884,-0.1431343628
460,46.00127781,1.012397364,-0.1430252825
461,46.10128059,0.9960384421,-0.1427490533
462,46.20128337,0.9377010195,-0.1423064195
463,46.30128615,0.8399655247,-0.1416982675
464,46.40128892,0.7070818769,-0.1409256244
465,46.5012917,0.5447811148,-0.1399896599
466,46.60129448,0.3600255431,-0.1388916876
467,46.70129726,0.1607085139,-0.1376331688
468,46.80130004,-0.04468308753,-0.1362157161
469,46.90130281,-0.247429206,-0.1346410985
470,47.00130559,-0.4389446291,-0.1329112458
471,47.10130837,-0.6111393219,-0.1310282537
472,47.20131115,-0.7567562534,-0.1289943876
473,47.30131393,-0.8696729624,-0.1268120866
474,47.4013167,-0.9451547154,-0.1244839653
475,47.50131948,-0.9800491713,-0.1220128158
476,47.60132226,-0.9729148929,-0.1194016064
477,47.70132504,-0.9240787421,-0.1166534805
478,47.80132781,-0.8356200637,-0.1137717523
479,47.90133059,-0.7112824789,-0.1107599017
480,48.00133337,-0.5563169926,-0.1076215673
481,48.10133615,-0.377262841,-0.1043605376
482,48.20133893,-0.1816749817,-0.1009807417
483,48.3013417,0.02219073208,-0.09748623802
484,48.40134448,0.2257219328,-0.09388120266
485,48.50134726,0.4203096795,-0.09016991755
486,48.60135004,0.5977092634,-0.0863567581
487,48.70135282,0.7503870479,-0.08244618135
488,48.80135559,0.871838969,-0.07844271459
489,48.90135837,0.9568673445,-0.07435094498
490,49.00136115,1.001804225,-0.07017551019
491,49.10136393,1.004671589,-0.0659210906
492,49.2013667,0.9652712041,-0.06159240289
493,49.30136948,0.88519981,-0.05719419538
494,49.40137226,0.7677883683,-0.05273124495
495,49.50137504,0.6179673064,-0.04820835554
496,49.60137782,0.4420628502,-0.0436303582
497,49.70138059,0.247532544,-0.03900211225
498,49.80138337,0.04265077411,-0.03432850757
499,49.90138615,-0.1638425992,-0.02961446751
500,50.00138893,-0.3631156321,-0.02486495212
501,50.10139171,-0.5466237072,-0.02008496142
502,50.20139448,-0.7064785139,-0.0152795382
503,50.30139726,-0.8357904321,-0.01045377016
504,50.40140004,-0.9289691633,-0.005612790902
505,50.50140282,-0.98196916,-0.0007617795697
506,50.60140559,-0.9924687456,0.004094041072
507,50.70140837,-0.9599746848,0.008949408336
508,50.80141115,-0.8858472437,0.01379902514
509,50.90141393,-0.7732443095,0.01863756738
